,QID,Question,TCS_Levenstein,tool_inputs
0,2,Giờ làm việc theo quy định của công ty bắt đầu vào lúc nào?,1,{'input_RAG_sim': 1}
1,3,"Tôi cảm ơn, hết rồi.",0,{}
2,4,Còn bao nhiêu phút nữa là kết thúc ca làm việc buổi chiều?,2,{'input_RAG_sim': 1}
3,5,tôi submit hợp đồng 8 ngày rồi mà chưa được trả lại thì tôi cần làm gì?,3,"{'input_RAG_sim': 1, 'input_Pln_sim': 1}"
4,6,Tôi cần làm gì sau khi hoàn thành soạn thảo hợp đồng?,1,{'input_RAG_sim': 1}
5,7,"Tôi muốn có một kế hoạch học làm bánh chi tiết dài 20 ngày, với nguyên liệu chủ yếu là hoa quả trong mùa này và có sẵn ở Việt Nam.",3,"{'input_WS_sim': 1, 'input_Pln_sim': 1}"
6,8,Kỳ World Cup tiếp theo được tổ chức ở đâu và còn bao nhiêu tháng nữa là tới mùa bóng lăn?,2,{'input_WS_sim': 1}
7,9,Còn bao nhiêu ngày nữa để chuẩn bị trước khi kỳ kiểm tra tiêu chuẩn ISO định kỳ lần kế tiếp của công ty diễn ra? Tôi cần một phương án học tập phù hợp với lượng thời gian này. ,4,"{'input_RAG_sim': 1, 'input_WS_sim': 1, 'input_Pln_sim': 1}"
8,10,Tôi cần soạn thảo đầy đủ một hợp đồng thử việc theo quy định của pháp luật hiện hành và quy định của công ty.,3,"{'input_WS_sim': 1, 'input_Pln_sim': 1}"
9,11,Bộ phận IFU đi du lịch ở đâu vào năm 2024?,1,{'input_WS_sim': 1}
10,12,"Lên kế hoạch cho du lịch hè ở Quy Nhơn cho nhóm 30 người, trong khoảng ngân sách 8tr/1 người",3,"{'input_WS_sim': 1, 'input_Pln_sim': 1}"
11,13,Thời tiết ở Ninh Bình và dự đoán nhu cầu du lịch ở đó trong tháng 8?,4,"{'input_WS_sim': 1, 'input_Pln_sim': 1}"
12,14,"Lập kế hoạch onboard thực tập sinh với mục tiêu giúp các nhân lực mới làm quen với quy trình, văn hóa và lịch sử của công ty,",6,"{'input_RAG_sim': 1, 'input_WS_sim': 1, 'input_Pln_sim': 1}"
13,15,Chính sách nghỉ thai sản cho nam giới của công ty?,1,{'input_RAG_sim': 1}
14,16,Tóm tắt về quy trình duyệt và lưu trữ cho văn bản đi trong nội quy của công ty. Đối chiếu quy trình này với chuẩn ISO mới nhất để tìm ra điểm lỗi thời của quy trình công ty. Tập trung vào văn bản kỹ thuật số có tính bảo mật cao. Lên kế hoạch phổ biến và áp dụng tiêu chuẩn mới nhất nếu cần.,4,"{'input_RAG_sim': 1, 'input_WS_sim': 1, 'input_Pln_sim': 1}"
15,17,"Tôi bị mất quyền truy cập vào email công ty, tôi nên liên hệ ai và làm gì để khôi phục?",2,"{'input_RAG_sim': 1, 'input_WS_sim': 1}"
16,18,"Hãy đối chiếu quy trình onboarding hiện tại của công ty với các best practice toàn cầu, chỉ ra điểm thiếu sót, và đưa ra kế hoạch sửa đổi, bao gồm đào tạo cho các bộ phận liên quan.",3,"{'input_RAG_sim': 1, 'input_WS_sim': 1, 'input_Pln_sim': 1}"
17,19,"Tôi cần biết thời gian xử lý trung bình của phòng pháp chế với yêu cầu rà soát hợp đồng nội bộ. Nếu không có số liệu cụ thể trong tài liệu, hãy tra cứu quy chuẩn ngành và đề xuất KPI nội bộ.",4,"{'input_RAG_sim': 1, 'input_WS_sim': 1, 'input_Pln_sim': 1}"
18,20,Employee Handbook của Sun Asterisk được lưu trữ ở đâu?,1,{'input_RAG_sim': 1}
